_id,season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
1116,2004-2005,200516,4/23/2005,Upper Southern,35,1601,2.19,11
1117,2004-2005,200517,4/30/2005,Bay Area,39,2913,1.34,17
1118,2004-2005,200517,4/30/2005,California,269,11377,2.36,54
1119,2004-2005,200517,4/30/2005,Central,0,737,0,4
1120,2004-2005,200517,4/30/2005,Lower Southern,199,4802,4.14,18
1121,2004-2005,200517,4/30/2005,Northern,18,2228,0.81,8
1122,2004-2005,200517,4/30/2005,Upper Southern,13,697,1.87,7
1123,2004-2005,200518,5/7/2005,Bay Area,18,1925,0.94,11
1124,2004-2005,200518,5/7/2005,California,233,9735,2.39,42
1125,2004-2005,200518,5/7/2005,Central,3,718,0.42,3
1126,2004-2005,200518,5/7/2005,Lower Southern,186,4732,3.93,18
1127,2004-2005,200518,5/7/2005,Northern,13,1812,0.72,6
1128,2004-2005,200518,5/7/2005,Upper Southern,13,548,2.37,4
1129,2004-2005,200519,5/14/2005,Bay Area,27,2042,1.32,11
1130,2004-2005,200519,5/14/2005,California,200,7719,2.59,37
1131,2004-2005,200519,5/14/2005,Central,0,344,0,3
1132,2004-2005,200519,5/14/2005,Lower Southern,135,2736,4.93,12
1133,2004-2005,200519,5/14/2005,Northern,22,2077,1.06,7
1134,2004-2005,200519,5/14/2005,Upper Southern,16,520,3.08,4
1135,2004-2005,200520,5/21/2005,Bay Area,24,2043,1.17,12
1136,2004-2005,200520,5/21/2005,California,292,9371,3.12,38
1137,2004-2005,200520,5/21/2005,Central,1,259,0.39,2
1138,2004-2005,200520,5/21/2005,Lower Southern,225,4316,5.21,13
1139,2004-2005,200520,5/21/2005,Northern,26,2307,1.13,7
1140,2004-2005,200520,5/21/2005,Upper Southern,16,446,3.59,4
1141,2004-2005,200521,5/28/2005,Bay Area,25,1311,1.91,10
1142,2004-2005,200521,5/28/2005,California,214,7517,2.85,34
1143,2004-2005,200521,5/28/2005,Central,2,214,0.93,2
1144,2004-2005,200521,5/28/2005,Lower Southern,163,4115,3.96,13
1145,2004-2005,200521,5/28/2005,Northern,18,1478,1.22,6
1146,2004-2005,200521,5/28/2005,Upper Southern,6,399,1.5,3
1147,2004-2005,200522,6/4/2005,Bay Area,18,1227,1.47,10
1148,2004-2005,200522,6/4/2005,California,169,6583,2.57,31
1149,2004-2005,200522,6/4/2005,Central,0,208,0,2
1150,2004-2005,200522,6/4/2005,Lower Southern,135,3585,3.77,9
1151,2004-2005,200522,6/4/2005,Northern,15,1319,1.14,7
1152,2004-2005,200522,6/4/2005,Upper Southern,1,244,0.41,3
1153,2004-2005,200523,6/11/2005,Bay Area,15,1168,1.28,8
1154,2004-2005,200523,6/11/2005,California,133,5161,2.58,26
1155,2004-2005,200523,6/11/2005,Central,0,60,0,1
1156,2004-2005,200523,6/11/2005,Lower Southern,106,2178,4.87,7
1157,2004-2005,200523,6/11/2005,Northern,11,1502,0.73,7
1158,2004-2005,200523,6/11/2005,Upper Southern,1,253,0.4,3
1159,2004-2005,200524,6/18/2005,Bay Area,16,969,1.65,9
1160,2004-2005,200524,6/18/2005,California,124,4745,2.61,28
1161,2004-2005,200524,6/18/2005,Central,0,49,0,1
1162,2004-2005,200524,6/18/2005,Lower Southern,95,2281,4.16,9
1163,2004-2005,200524,6/18/2005,Northern,10,1134,0.88,6
1164,2004-2005,200524,6/18/2005,Upper Southern,3,312,0.96,3
1165,2004-2005,200525,6/25/2005,Bay Area,18,1168,1.54,9
1166,2004-2005,200525,6/25/2005,California,136,6125,2.22,28
1167,2004-2005,200525,6/25/2005,Central,0,66,0,1
1168,2004-2005,200525,6/25/2005,Lower Southern,108,3299,3.27,9
1169,2004-2005,200525,6/25/2005,Northern,9,1200,0.75,6
1170,2004-2005,200525,6/25/2005,Upper Southern,1,392,0.26,3
1171,2004-2005,200526,7/2/2005,Bay Area,15,693,2.16,7
1172,2004-2005,200526,7/2/2005,California,99,4416,2.24,24
1173,2004-2005,200526,7/2/2005,Central,0,102,0,1
1174,2004-2005,200526,7/2/2005,Lower Southern,78,2211,3.53,8
1175,2004-2005,200526,7/2/2005,Northern,4,1031,0.39,5
1176,2004-2005,200526,7/2/2005,Upper Southern,2,379,0.53,3
1177,2004-2005,200527,7/9/2005,Bay Area,13,866,1.5,8
1178,2004-2005,200527,7/9/2005,California,77,4623,1.67,27
1179,2004-2005,200527,7/9/2005,Central,0,67,0,1
1180,2004-2005,200527,7/9/2005,Lower Southern,59,2375,2.48,9
1181,2004-2005,200527,7/9/2005,Northern,3,1035,0.29,6
1182,2004-2005,200527,7/9/2005,Upper Southern,2,280,0.71,3
1183,2004-2005,200528,7/16/2005,Bay Area,14,1000,1.4,8
1184,2004-2005,200528,7/16/2005,California,81,5230,1.55,24
1185,2004-2005,200528,7/16/2005,Central,0,98,0,1
1186,2004-2005,200528,7/16/2005,Lower Southern,62,2726,2.27,7
1187,2004-2005,200528,7/16/2005,Northern,4,1186,0.34,6
1188,2004-2005,200528,7/16/2005,Upper Southern,1,220,0.45,2
1189,2004-2005,200529,7/23/2005,Bay Area,11,955,1.15,7
1190,2004-2005,200529,7/23/2005,California,90,4031,2.23,22
1191,2004-2005,200529,7/23/2005,Central,0,104,0,1
1192,2004-2005,200529,7/23/2005,Lower Southern,74,1741,4.25,6
1193,2004-2005,200529,7/23/2005,Northern,5,1143,0.44,6
1194,2004-2005,200529,7/23/2005,Upper Southern,0,88,0,2
1195,2004-2005,200530,7/30/2005,Bay Area,6,830,0.72,5
1196,2004-2005,200530,7/30/2005,California,59,3944,1.5,20
1197,2004-2005,200530,7/30/2005,Central,0,55,0,1
1198,2004-2005,200530,7/30/2005,Lower Southern,53,1818,2.92,7
1199,2004-2005,200530,7/30/2005,Northern,0,1061,0,5
1200,2004-2005,200530,7/30/2005,Upper Southern,0,180,0,2
1201,2004-2005,200531,8/6/2005,Bay Area,12,894,1.34,6
1202,2004-2005,200531,8/6/2005,California,75,3899,1.92,21
1203,2004-2005,200531,8/6/2005,Central,0,46,0,1
1204,2004-2005,200531,8/6/2005,Lower Southern,61,1665,3.66,7
1205,2004-2005,200531,8/6/2005,Northern,0,1054,0,5
1206,2004-2005,200531,8/6/2005,Upper Southern,2,240,0.83,2
1207,2004-2005,200532,8/13/2005,Bay Area,10,942,1.06,6
1208,2004-2005,200532,8/13/2005,California,22,2952,0.75,19
1209,2004-2005,200532,8/13/2005,Central,0,107,0,1
1210,2004-2005,200532,8/13/2005,Lower Southern,9,714,1.26,5
1211,2004-2005,200532,8/13/2005,Northern,3,969,0.31,5
1212,2004-2005,200532,8/13/2005,Upper Southern,0,220,0,2
1213,2004-2005,200533,8/20/2005,Bay Area,10,845,1.18,5
1214,2004-2005,200533,8/20/2005,California,67,4322,1.55,20
1215,2004-2005,200533,8/20/2005,Central,0,74,0,1
1216,2004-2005,200533,8/20/2005,Lower Southern,56,1698,3.3,7
1217,2004-2005,200533,8/20/2005,Northern,1,1462,0.07,5
1218,2004-2005,200533,8/20/2005,Upper Southern,0,243,0,2
1219,2004-2005,200534,8/27/2005,Bay Area,8,1344,0.6,8
1220,2004-2005,200534,8/27/2005,California,71,5569,1.27,22
1221,2004-2005,200534,8/27/2005,Central,0,303,0,1
1222,2004-2005,200534,8/27/2005,Lower Southern,60,1747,3.43,6
1223,2004-2005,200534,8/27/2005,Northern,2,1943,0.1,5
1224,2004-2005,200534,8/27/2005,Upper Southern,1,232,0.43,2
1225,2004-2005,200535,9/3/2005,Bay Area,0,1136,0,7
1226,2004-2005,200535,9/3/2005,California,60,3878,1.55,19
1227,2004-2005,200535,9/3/2005,Central,0,255,0,1
1228,2004-2005,200535,9/3/2005,Lower Southern,58,1807,3.21,7
1229,2004-2005,200535,9/3/2005,Northern,1,432,0.23,2
1230,2004-2005,200535,9/3/2005,Upper Southern,1,248,0.4,2
1231,2004-2005,200536,9/10/2005,Bay Area,5,1000,0.5,6
1232,2004-2005,200536,9/10/2005,California,68,3617,1.88,18
1233,2004-2005,200536,9/10/2005,Central,0,172,0,1
1234,2004-2005,200536,9/10/2005,Lower Southern,62,1548,4.01,6
1235,2004-2005,200536,9/10/2005,Northern,1,714,0.14,3
1236,2004-2005,200536,9/10/2005,Upper Southern,0,183,0,2
1237,2004-2005,200537,9/17/2005,Bay Area,2,767,0.26,4
1238,2004-2005,200537,9/17/2005,California,50,3774,1.32,16
1239,2004-2005,200537,9/17/2005,Central,0,189,0,1
1240,2004-2005,200537,9/17/2005,Lower Southern,46,1662,2.77,6
1241,2004-2005,200537,9/17/2005,Northern,2,922,0.22,3
1242,2004-2005,200537,9/17/2005,Upper Southern,0,234,0,2
1243,2004-2005,200538,9/24/2005,Bay Area,4,1287,0.31,6
1244,2004-2005,200538,9/24/2005,California,69,4144,1.67,18
1245,2004-2005,200538,9/24/2005,Central,0,184,0,1
1246,2004-2005,200538,9/24/2005,Lower Southern,64,1765,3.63,6
1247,2004-2005,200538,9/24/2005,Northern,1,707,0.14,3
1248,2004-2005,200538,9/24/2005,Upper Southern,0,201,0,2
1249,2004-2005,200539,10/1/2005,Bay Area,3,1238,0.24,6
1250,2004-2005,200539,10/1/2005,California,57,4463,1.28,19
1251,2004-2005,200539,10/1/2005,Central,1,239,0.42,2
1252,2004-2005,200539,10/1/2005,Lower Southern,53,2029,2.61,6
1253,2004-2005,200539,10/1/2005,Northern,0,723,0,3
1254,2004-2005,200539,10/1/2005,Upper Southern,0,234,0,2
1255,2005-2006,200540,10/8/2005,Bay Area,23,1824,1.26,15
1256,2005-2006,200540,10/8/2005,California,233,11542,2.02,53
1257,2005-2006,200540,10/8/2005,Central,20,1094,1.83,5
1258,2005-2006,200540,10/8/2005,Lower Southern,154,3850,4,12
1259,2005-2006,200540,10/8/2005,Northern,12,1850,0.65,7
1260,2005-2006,200540,10/8/2005,Upper Southern,24,2924,0.82,14
1261,2005-2006,200541,10/15/2005,Bay Area,17,2782,0.61,16
1262,2005-2006,200541,10/15/2005,California,241,13627,1.77,60
1263,2005-2006,200541,10/15/2005,Central,25,1262,1.98,6
1264,2005-2006,200541,10/15/2005,Lower Southern,168,4742,3.54,16
1265,2005-2006,200541,10/15/2005,Northern,4,1952,0.2,8
1266,2005-2006,200541,10/15/2005,Upper Southern,27,2889,0.93,14
1267,2005-2006,200542,10/22/2005,Bay Area,29,3182,0.91,17
1268,2005-2006,200542,10/22/2005,California,280,15446,1.81,68
1269,2005-2006,200542,10/22/2005,Central,19,1370,1.39,7
1270,2005-2006,200542,10/22/2005,Lower Southern,164,5073,3.23,17
1271,2005-2006,200542,10/22/2005,Northern,25,2166,1.15,10
1272,2005-2006,200542,10/22/2005,Upper Southern,43,3655,1.18,17
1273,2005-2006,200543,10/29/2005,Bay Area,48,3384,1.42,20
1274,2005-2006,200543,10/29/2005,California,267,16483,1.62,81
1275,2005-2006,200543,10/29/2005,Central,32,1448,2.21,8
1276,2005-2006,200543,10/29/2005,Lower Southern,131,5228,2.51,22
1277,2005-2006,200543,10/29/2005,Northern,14,2445,0.57,11
1278,2005-2006,200543,10/29/2005,Upper Southern,42,3978,1.06,20
1279,2005-2006,200544,11/5/2005,Bay Area,69,3373,2.05,21
1280,2005-2006,200544,11/5/2005,California,452,17823,2.54,88
1281,2005-2006,200544,11/5/2005,Central,63,1769,3.56,9
1282,2005-2006,200544,11/5/2005,Lower Southern,227,6690,3.39,26
1283,2005-2006,200544,11/5/2005,Northern,57,2209,2.58,12
1284,2005-2006,200544,11/5/2005,Upper Southern,36,3782,0.95,20
1285,2005-2006,200545,11/12/2005,Bay Area,70,3552,1.97,22
1286,2005-2006,200545,11/12/2005,California,333,18165,1.83,94
1287,2005-2006,200545,11/12/2005,Central,42,1738,2.42,9
1288,2005-2006,200545,11/12/2005,Lower Southern,130,5672,2.29,27
1289,2005-2006,200545,11/12/2005,Northern,27,2233,1.21,12
1290,2005-2006,200545,11/12/2005,Upper Southern,64,4970,1.29,24
1291,2005-2006,200546,11/19/2005,Bay Area,109,3275,3.33,20
1292,2005-2006,200546,11/19/2005,California,537,18885,2.84,92
1293,2005-2006,200546,11/19/2005,Central,58,1825,3.18,9
1294,2005-2006,200546,11/19/2005,Lower Southern,279,7101,3.93,28
1295,2005-2006,200546,11/19/2005,Northern,21,1834,1.15,10
1296,2005-2006,200546,11/19/2005,Upper Southern,70,4850,1.44,25
1297,2005-2006,200547,11/26/2005,Bay Area,70,2219,3.15,22
1298,2005-2006,200547,11/26/2005,California,530,14102,3.76,97
1299,2005-2006,200547,11/26/2005,Central,60,1088,5.51,10
1300,2005-2006,200547,11/26/2005,Lower Southern,322,5597,5.75,27
1301,2005-2006,200547,11/26/2005,Northern,11,1022,1.08,13
1302,2005-2006,200547,11/26/2005,Upper Southern,67,4176,1.6,25
1303,2005-2006,200548,12/3/2005,Bay Area,92,3210,2.87,20
1304,2005-2006,200548,12/3/2005,California,538,17236,3.12,91
1305,2005-2006,200548,12/3/2005,Central,35,1613,2.17,8
1306,2005-2006,200548,12/3/2005,Lower Southern,266,5579,4.77,27
1307,2005-2006,200548,12/3/2005,Northern,39,2261,1.72,13
1308,2005-2006,200548,12/3/2005,Upper Southern,106,4573,2.32,23
1309,2005-2006,200549,12/10/2005,Bay Area,145,2794,5.19,22
1310,2005-2006,200549,12/10/2005,California,798,18947,4.21,100
1311,2005-2006,200549,12/10/2005,Central,39,1635,2.39,9
1312,2005-2006,200549,12/10/2005,Lower Southern,430,7279,5.91,29
1313,2005-2006,200549,12/10/2005,Northern,36,2425,1.48,15
1314,2005-2006,200549,12/10/2005,Upper Southern,148,4814,3.07,25
1315,2005-2006,200550,12/17/2005,Bay Area,183,3127,5.85,21
1316,2005-2006,200550,12/17/2005,California,1177,19387,6.07,96
1317,2005-2006,200550,12/17/2005,Central,69,1574,4.38,10
1318,2005-2006,200550,12/17/2005,Lower Southern,672,7982,8.42,29
1319,2005-2006,200550,12/17/2005,Northern,54,2475,2.18,12
1320,2005-2006,200550,12/17/2005,Upper Southern,199,4229,4.71,24
1321,2005-2006,200551,12/24/2005,Bay Area,264,2596,10.17,23
1322,2005-2006,200551,12/24/2005,California,1358,15702,8.65,94
1323,2005-2006,200551,12/24/2005,Central,41,1062,3.86,8
1324,2005-2006,200551,12/24/2005,Lower Southern,743,6101,12.18,27
1325,2005-2006,200551,12/24/2005,Northern,96,1662,5.78,13
1326,2005-2006,200551,12/24/2005,Upper Southern,214,4281,5,23
1327,2005-2006,200552,12/31/2005,Bay Area,148,2016,7.34,23
1328,2005-2006,200552,12/31/2005,California,819,13213,6.2,96
1329,2005-2006,200552,12/31/2005,Central,27,775,3.48,8
1330,2005-2006,200552,12/31/2005,Lower Southern,449,5056,8.88,28
1331,2005-2006,200552,12/31/2005,Northern,74,1573,4.7,12
1332,2005-2006,200552,12/31/2005,Upper Southern,121,3793,3.19,25
1333,2005-2006,200601,1/7/2006,Bay Area,114,2447,4.66,20
1334,2005-2006,200601,1/7/2006,California,491,13446,3.65,90
1335,2005-2006,200601,1/7/2006,Central,27,998,2.71,8
1336,2005-2006,200601,1/7/2006,Lower Southern,211,3865,5.46,22
1337,2005-2006,200601,1/7/2006,Northern,56,1626,3.44,14
1338,2005-2006,200601,1/7/2006,Upper Southern,83,4510,1.84,26
1339,2005-2006,200602,1/14/2006,Bay Area,122,3277,3.72,22
1340,2005-2006,200602,1/14/2006,California,339,15478,2.19,96
1341,2005-2006,200602,1/14/2006,Central,27,1352,2,8
1342,2005-2006,200602,1/14/2006,Lower Southern,58,3396,1.71,21
1343,2005-2006,200602,1/14/2006,Northern,54,2161,2.5,15
1344,2005-2006,200602,1/14/2006,Upper Southern,78,5292,1.47,30
1345,2005-2006,200603,1/21/2006,Bay Area,98,2891,3.39,21
1346,2005-2006,200603,1/21/2006,California,286,14523,1.97,90
1347,2005-2006,200603,1/21/2006,Central,32,1328,2.41,8
1348,2005-2006,200603,1/21/2006,Lower Southern,54,2741,1.97,19
1349,2005-2006,200603,1/21/2006,Northern,48,2035,2.36,13
1350,2005-2006,200603,1/21/2006,Upper Southern,54,5528,0.98,29
1351,2005-2006,200604,1/28/2006,Bay Area,121,3782,3.2,23
1352,2005-2006,200604,1/28/2006,California,462,17775,2.6,93
1353,2005-2006,200604,1/28/2006,Central,37,1568,2.36,9
1354,2005-2006,200604,1/28/2006,Lower Southern,169,4936,3.42,21
1355,2005-2006,200604,1/28/2006,Northern,47,2561,1.84,12
1356,2005-2006,200604,1/28/2006,Upper Southern,88,4928,1.79,28
1357,2005-2006,200605,2/4/2006,Bay Area,136,3668,3.71,22
1358,2005-2006,200605,2/4/2006,California,354,15376,2.3,89
1359,2005-2006,200605,2/4/2006,Central,23,1513,1.52,9
1360,2005-2006,200605,2/4/2006,Lower Southern,41,2748,1.49,20
1361,2005-2006,200605,2/4/2006,Northern,70,2981,2.35,14
1362,2005-2006,200605,2/4/2006,Upper Southern,84,4466,1.88,24
1363,2005-2006,200606,2/11/2006,Bay Area,108,3754,2.88,22
1364,2005-2006,200606,2/11/2006,California,282,15881,1.78,89
1365,2005-2006,200606,2/11/2006,Central,18,1507,1.19,10
1366,2005-2006,200606,2/11/2006,Lower Southern,47,3147,1.49,20
1367,2005-2006,200606,2/11/2006,Northern,41,2908,1.41,13
1368,2005-2006,200606,2/11/2006,Upper Southern,68,4565,1.49,24
1369,2005-2006,200607,2/18/2006,Bay Area,115,3469,3.32,21
1370,2005-2006,200607,2/18/2006,California,464,18405,2.52,92
1371,2005-2006,200607,2/18/2006,Central,16,1542,1.04,10
1372,2005-2006,200607,2/18/2006,Lower Southern,235,6024,3.9,23
1373,2005-2006,200607,2/18/2006,Northern,49,2790,1.76,14
1374,2005-2006,200607,2/18/2006,Upper Southern,49,4580,1.07,24
1375,2005-2006,200608,2/25/2006,Bay Area,58,2785,2.08,18
1376,2005-2006,200608,2/25/2006,California,254,14385,1.77,85
1377,2005-2006,200608,2/25/2006,Central,15,1672,0.9,10
1378,2005-2006,200608,2/25/2006,Lower Southern,54,2658,2.03,19
1379,2005-2006,200608,2/25/2006,Northern,47,2717,1.73,14
1380,2005-2006,200608,2/25/2006,Upper Southern,80,4553,1.76,24
1381,2005-2006,200609,3/4/2006,Bay Area,53,3028,1.75,17
1382,2005-2006,200609,3/4/2006,California,205,13926,1.47,79
1383,2005-2006,200609,3/4/2006,Central,18,1570,1.15,9
1384,2005-2006,200609,3/4/2006,Lower Southern,23,2229,1.03,17
1385,2005-2006,200609,3/4/2006,Northern,47,2683,1.75,14
1386,2005-2006,200609,3/4/2006,Upper Southern,64,4416,1.45,22
1387,2005-2006,200610,3/11/2006,Bay Area,65,3153,2.06,18
1388,2005-2006,200610,3/11/2006,California,448,18106,2.47,85
1389,2005-2006,200610,3/11/2006,Central,16,1466,1.09,10
1390,2005-2006,200610,3/11/2006,Lower Southern,261,6373,4.1,23
1391,2005-2006,200610,3/11/2006,Northern,30,2525,1.19,11
1392,2005-2006,200610,3/11/2006,Upper Southern,76,4589,1.66,23
1393,2005-2006,200611,3/18/2006,Bay Area,88,3508,2.51,19
1394,2005-2006,200611,3/18/2006,California,477,17788,2.68,86
1395,2005-2006,200611,3/18/2006,Central,13,1593,0.82,10
1396,2005-2006,200611,3/18/2006,Lower Southern,284,6177,4.6,23
1397,2005-2006,200611,3/18/2006,Northern,25,1767,1.41,12
1398,2005-2006,200611,3/18/2006,Upper Southern,67,4743,1.41,22
1399,2005-2006,200612,3/25/2006,Bay Area,108,2965,3.64,19
1400,2005-2006,200612,3/25/2006,California,538,17537,3.07,87
1401,2005-2006,200612,3/25/2006,Central,16,1665,0.96,10
1402,2005-2006,200612,3/25/2006,Lower Southern,318,5956,5.34,23
1403,2005-2006,200612,3/25/2006,Northern,21,2488,0.84,12
1404,2005-2006,200612,3/25/2006,Upper Southern,75,4463,1.68,23
1405,2005-2006,200613,4/1/2006,Bay Area,67,2551,2.63,18
1406,2005-2006,200613,4/1/2006,California,452,15939,2.84,83
1407,2005-2006,200613,4/1/2006,Central,30,1457,2.06,9
1408,2005-2006,200613,4/1/2006,Lower Southern,258,5597,4.61,22
1409,2005-2006,200613,4/1/2006,Northern,18,1793,1,10
1410,2005-2006,200613,4/1/2006,Upper Southern,79,4541,1.74,24
1411,2005-2006,200614,4/8/2006,Bay Area,82,3089,2.65,18
1412,2005-2006,200614,4/8/2006,California,431,16416,2.63,81
1413,2005-2006,200614,4/8/2006,Central,19,1626,1.17,9
1414,2005-2006,200614,4/8/2006,Lower Southern,244,4701,5.19,21
1415,2005-2006,200614,4/8/2006,Northern,18,2084,0.86,10
1416,2005-2006,200614,4/8/2006,Upper Southern,68,4916,1.38,23
1417,2005-2006,200615,4/15/2006,Bay Area,44,3060,1.44,17
1418,2005-2006,200615,4/15/2006,California,295,15327,1.92,73
1419,2005-2006,200615,4/15/2006,Central,8,1404,0.57,8
1420,2005-2006,200615,4/15/2006,Lower Southern,163,3960,4.12,18
1421,2005-2006,200615,4/15/2006,Northern,20,2309,0.87,11
1422,2005-2006,200615,4/15/2006,Upper Southern,60,4594,1.31,19
1423,2005-2006,200616,4/22/2006,Bay Area,24,3148,0.76,17
1424,2005-2006,200616,4/22/2006,California,192,15519,1.24,75
1425,2005-2006,200616,4/22/2006,Central,3,1270,0.24,9
1426,2005-2006,200616,4/22/2006,Lower Southern,123,4867,2.53,21
1427,2005-2006,200616,4/22/2006,Northern,16,2387,0.67,11
1428,2005-2006,200616,4/22/2006,Upper Southern,26,3847,0.68,17
1429,2005-2006,200617,4/29/2006,Bay Area,17,2946,0.58,16
1430,2005-2006,200617,4/29/2006,California,140,13162,1.06,70
1431,2005-2006,200617,4/29/2006,Central,4,1588,0.25,9
1432,2005-2006,200617,4/29/2006,Lower Southern,79,2394,3.3,17
1433,2005-2006,200617,4/29/2006,Northern,11,2303,0.48,11
1434,2005-2006,200617,4/29/2006,Upper Southern,29,3931,0.74,17
1435,2005-2006,200618,5/6/2006,Bay Area,9,3076,0.29,17
1436,2005-2006,200618,5/6/2006,California,165,15281,1.08,70
1437,2005-2006,200618,5/6/2006,Central,2,1773,0.11,9
1438,2005-2006,200618,5/6/2006,Lower Southern,134,4345,3.08,18
1439,2005-2006,200618,5/6/2006,Northern,2,2337,0.09,11
1440,2005-2006,200618,5/6/2006,Upper Southern,18,3750,0.48,15
1441,2005-2006,200619,5/13/2006,Bay Area,5,2761,0.18,14
1442,2005-2006,200619,5/13/2006,California,129,14940,0.86,65
1443,2005-2006,200619,5/13/2006,Central,2,1656,0.12,8
1444,2005-2006,200619,5/13/2006,Lower Southern,101,4478,2.26,17
1445,2005-2006,200619,5/13/2006,Northern,7,2273,0.31,11
1446,2005-2006,200619,5/13/2006,Upper Southern,14,3772,0.37,15
1447,2005-2006,200620,5/20/2006,Bay Area,7,2237,0.31,14
1448,2005-2006,200620,5/20/2006,California,147,14593,1.01,62
1449,2005-2006,200620,5/20/2006,Central,0,1638,0,8
1450,2005-2006,200620,5/20/2006,Lower Southern,103,4728,2.18,16
1451,2005-2006,200620,5/20/2006,Northern,10,2224,0.45,9
1452,2005-2006,200620,5/20/2006,Upper Southern,27,3766,0.72,15
1453,2005-2006,200621,5/27/2006,Bay Area,4,2815,0.14,12
1454,2005-2006,200621,5/27/2006,California,98,11086,0.88,39
1455,2005-2006,200621,5/27/2006,Central,2,1253,0.16,4
1456,2005-2006,200621,5/27/2006,Lower Southern,81,3928,2.06,10
1457,2005-2006,200621,5/27/2006,Northern,1,1236,0.08,6
1458,2005-2006,200621,5/27/2006,Upper Southern,10,1854,0.54,7
1459,2005-2006,200622,6/3/2006,Bay Area,0,1625,0,11
1460,2005-2006,200622,6/3/2006,California,15,5507,0.27,33
1461,2005-2006,200622,6/3/2006,Central,0,1053,0,4
1462,2005-2006,200622,6/3/2006,Lower Southern,3,335,0.9,7
1463,2005-2006,200622,6/3/2006,Northern,5,709,0.71,5
1464,2005-2006,200622,6/3/2006,Upper Southern,7,1785,0.39,6
1465,2005-2006,200623,6/10/2006,Bay Area,1,1627,0.06,8
1466,2005-2006,200623,6/10/2006,California,75,7466,1,30
1467,2005-2006,200623,6/10/2006,Central,0,113,0,2
1468,2005-2006,200623,6/10/2006,Lower Southern,64,3383,1.89,11
1469,2005-2006,200623,6/10/2006,Northern,1,484,0.21,3
1470,2005-2006,200623,6/10/2006,Upper Southern,9,1859,0.48,6
1471,2005-2006,200624,6/17/2006,Bay Area,1,1537,0.07,9
1472,2005-2006,200624,6/17/2006,California,79,8751,0.9,34
1473,2005-2006,200624,6/17/2006,Central,1,824,0.12,3
1474,2005-2006,200624,6/17/2006,Lower Southern,68,4033,1.69,12
1475,2005-2006,200624,6/17/2006,Northern,3,581,0.52,4
1476,2005-2006,200624,6/17/2006,Upper Southern,6,1776,0.34,6
1477,2005-2006,200625,6/24/2006,Bay Area,0,1588,0,8
1478,2005-2006,200625,6/24/2006,California,74,8980,0.82,32
1479,2005-2006,200625,6/24/2006,Central,0,764,0,2
1480,2005-2006,200625,6/24/2006,Lower Southern,67,4257,1.57,13
1481,2005-2006,200625,6/24/2006,Northern,5,646,0.77,4
1482,2005-2006,200625,6/24/2006,Upper Southern,2,1725,0.12,5
1483,2005-2006,200626,7/1/2006,Bay Area,2,1255,0.16,8
1484,2005-2006,200626,7/1/2006,California,105,8071,1.3,32
1485,2005-2006,200626,7/1/2006,Central,0,839,0,3
1486,2005-2006,200626,7/1/2006,Lower Southern,96,3781,2.54,12
1487,2005-2006,200626,7/1/2006,Northern,3,502,0.6,4
1488,2005-2006,200626,7/1/2006,Upper Southern,4,1694,0.24,5
1489,2005-2006,200627,7/8/2006,Bay Area,0,831,0,6
1490,2005-2006,200627,7/8/2006,California,90,7340,1.23,31
1491,2005-2006,200627,7/8/2006,Central,0,460,0,3
1492,2005-2006,200627,7/8/2006,Lower Southern,87,4084,2.13,15
1493,2005-2006,200627,7/8/2006,Northern,0,334,0,3
1494,2005-2006,200627,7/8/2006,Upper Southern,3,1631,0.18,4
1495,2005-2006,200628,7/15/2006,Bay Area,2,1150,0.17,5
1496,2005-2006,200628,7/15/2006,California,91,8080,1.13,30
1497,2005-2006,200628,7/15/2006,Central,0,472,0,2
1498,2005-2006,200628,7/15/2006,Lower Southern,79,4276,1.85,15
1499,2005-2006,200628,7/15/2006,Northern,0,530,0,4
1500,2005-2006,200628,7/15/2006,Upper Southern,10,1652,0.61,4
1501,2005-2006,200629,7/22/2006,Bay Area,1,1091,0.09,5
1502,2005-2006,200629,7/22/2006,California,65,8039,0.81,26
1503,2005-2006,200629,7/22/2006,Central,0,533,0,2
1504,2005-2006,200629,7/22/2006,Lower Southern,60,4201,1.43,11
1505,2005-2006,200629,7/22/2006,Northern,0,560,0,4
1506,2005-2006,200629,7/22/2006,Upper Southern,4,1654,0.24,4
1507,2005-2006,200630,7/29/2006,Bay Area,0,1093,0,6
1508,2005-2006,200630,7/29/2006,California,69,8144,0.85,29
1509,2005-2006,200630,7/29/2006,Central,1,718,0.14,3
1510,2005-2006,200630,7/29/2006,Lower Southern,62,4106,1.51,12
1511,2005-2006,200630,7/29/2006,Northern,0,543,0,4
1512,2005-2006,200630,7/29/2006,Upper Southern,6,1684,0.36,4
1513,2005-2006,200631,8/5/2006,Bay Area,0,884,0,5
1514,2005-2006,200631,8/5/2006,California,34,6284,0.54,27
1515,2005-2006,200631,8/5/2006,Central,0,142,0,2
1516,2005-2006,200631,8/5/2006,Lower Southern,33,3043,1.08,13
1517,2005-2006,200631,8/5/2006,Northern,0,520,0,3
1518,2005-2006,200631,8/5/2006,Upper Southern,1,1695,0.06,4
1519,2005-2006,200632,8/12/2006,Bay Area,0,1089,0,5
1520,2005-2006,200632,8/12/2006,California,71,7766,0.91,28
1521,2005-2006,200632,8/12/2006,Central,3,193,1.55,2
