_id,season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
721,2003-2004,200403,1/24/2004,Bay Area,16,275,5.82,5
722,2003-2004,200403,1/24/2004,California,75,3732,2.01,26
723,2003-2004,200403,1/24/2004,Central,4,289,1.38,2
724,2003-2004,200403,1/24/2004,Lower Southern,0,212,0,3
725,2003-2004,200403,1/24/2004,Northern,20,2034,0.98,9
726,2003-2004,200403,1/24/2004,Upper Southern,35,922,3.8,7
727,2003-2004,200404,1/31/2004,Bay Area,15,250,6,4
728,2003-2004,200404,1/31/2004,California,86,4642,1.85,25
729,2003-2004,200404,1/31/2004,Central,13,488,2.66,3
730,2003-2004,200404,1/31/2004,Lower Southern,2,264,0.76,4
731,2003-2004,200404,1/31/2004,Northern,30,2623,1.14,9
732,2003-2004,200404,1/31/2004,Upper Southern,26,1017,2.56,5
733,2003-2004,200405,2/7/2004,Bay Area,13,538,2.42,5
734,2003-2004,200405,2/7/2004,California,85,4822,1.76,24
735,2003-2004,200405,2/7/2004,Central,9,429,2.1,3
736,2003-2004,200405,2/7/2004,Lower Southern,3,149,2.01,2
737,2003-2004,200405,2/7/2004,Northern,34,2824,1.2,9
738,2003-2004,200405,2/7/2004,Upper Southern,26,882,2.95,5
739,2003-2004,200406,2/14/2004,Bay Area,12,548,2.19,5
740,2003-2004,200406,2/14/2004,California,77,4840,1.59,23
741,2003-2004,200406,2/14/2004,Central,22,355,6.2,3
742,2003-2004,200406,2/14/2004,Lower Southern,5,232,2.16,2
743,2003-2004,200406,2/14/2004,Northern,16,2752,0.58,8
744,2003-2004,200406,2/14/2004,Upper Southern,22,953,2.31,5
745,2003-2004,200407,2/21/2004,Bay Area,10,437,2.29,5
746,2003-2004,200407,2/21/2004,California,59,4366,1.35,22
747,2003-2004,200407,2/21/2004,Central,9,552,1.63,3
748,2003-2004,200407,2/21/2004,Lower Southern,0,63,0,1
749,2003-2004,200407,2/21/2004,Northern,15,2404,0.62,8
750,2003-2004,200407,2/21/2004,Upper Southern,25,910,2.75,5
751,2003-2004,200408,2/28/2004,Bay Area,12,525,2.29,5
752,2003-2004,200408,2/28/2004,California,57,4521,1.26,21
753,2003-2004,200408,2/28/2004,Central,6,456,1.32,2
754,2003-2004,200408,2/28/2004,Lower Southern,4,103,3.88,1
755,2003-2004,200408,2/28/2004,Northern,21,2458,0.85,8
756,2003-2004,200408,2/28/2004,Upper Southern,14,979,1.43,5
757,2003-2004,200409,3/6/2004,Bay Area,14,462,3.03,4
758,2003-2004,200409,3/6/2004,California,42,4752,0.88,23
759,2003-2004,200409,3/6/2004,Central,7,516,1.36,3
760,2003-2004,200409,3/6/2004,Lower Southern,2,115,1.74,1
761,2003-2004,200409,3/6/2004,Northern,17,2746,0.62,9
762,2003-2004,200409,3/6/2004,Upper Southern,2,913,0.22,6
763,2003-2004,200410,3/13/2004,Bay Area,7,443,1.58,4
764,2003-2004,200410,3/13/2004,California,55,4472,1.23,20
765,2003-2004,200410,3/13/2004,Central,4,310,1.29,2
766,2003-2004,200410,3/13/2004,Lower Southern,0,105,0,1
767,2003-2004,200410,3/13/2004,Northern,28,2797,1,8
768,2003-2004,200410,3/13/2004,Upper Southern,16,817,1.96,5
769,2003-2004,200411,3/20/2004,Bay Area,7,389,1.8,3
770,2003-2004,200411,3/20/2004,California,56,3463,1.62,18
771,2003-2004,200411,3/20/2004,Central,5,331,1.51,2
772,2003-2004,200411,3/20/2004,Lower Southern,0,82,0,1
773,2003-2004,200411,3/20/2004,Northern,20,1670,1.2,7
774,2003-2004,200411,3/20/2004,Upper Southern,24,991,2.42,5
775,2003-2004,200412,3/27/2004,Bay Area,6,489,1.23,4
776,2003-2004,200412,3/27/2004,California,44,4770,0.92,21
777,2003-2004,200412,3/27/2004,Central,0,422,0,2
778,2003-2004,200412,3/27/2004,Lower Southern,0,138,0,2
779,2003-2004,200412,3/27/2004,Northern,12,2753,0.44,8
780,2003-2004,200412,3/27/2004,Upper Southern,26,968,2.69,5
781,2003-2004,200413,4/3/2004,Bay Area,3,393,0.76,3
782,2003-2004,200413,4/3/2004,California,24,3552,0.68,18
783,2003-2004,200413,4/3/2004,Central,1,470,0.21,3
784,2003-2004,200413,4/3/2004,Lower Southern,0,108,0,1
785,2003-2004,200413,4/3/2004,Northern,15,2138,0.7,7
786,2003-2004,200413,4/3/2004,Upper Southern,5,443,1.13,4
787,2003-2004,200414,4/10/2004,Bay Area,5,412,1.21,3
788,2003-2004,200414,4/10/2004,California,15,4001,0.37,19
789,2003-2004,200414,4/10/2004,Central,0,395,0,2
790,2003-2004,200414,4/10/2004,Lower Southern,2,123,1.63,2
791,2003-2004,200414,4/10/2004,Northern,5,2690,0.19,8
792,2003-2004,200414,4/10/2004,Upper Southern,3,381,0.79,4
793,2003-2004,200415,4/17/2004,Bay Area,8,467,1.71,3
794,2003-2004,200415,4/17/2004,California,25,4246,0.59,19
795,2003-2004,200415,4/17/2004,Central,9,854,1.05,2
796,2003-2004,200415,4/17/2004,Lower Southern,0,117,0,2
797,2003-2004,200415,4/17/2004,Northern,5,2364,0.21,8
798,2003-2004,200415,4/17/2004,Upper Southern,3,444,0.68,4
799,2003-2004,200416,4/24/2004,Bay Area,6,382,1.57,3
800,2003-2004,200416,4/24/2004,California,14,3684,0.38,16
801,2003-2004,200416,4/24/2004,Central,3,755,0.4,2
802,2003-2004,200416,4/24/2004,Lower Southern,0,97,0,1
803,2003-2004,200416,4/24/2004,Northern,4,2037,0.2,6
804,2003-2004,200416,4/24/2004,Upper Southern,1,413,0.24,4
805,2003-2004,200417,5/1/2004,Bay Area,3,413,0.73,3
806,2003-2004,200417,5/1/2004,California,16,5258,0.3,17
807,2003-2004,200417,5/1/2004,Central,5,2062,0.24,2
808,2003-2004,200417,5/1/2004,Lower Southern,4,90,4.44,1
809,2003-2004,200417,5/1/2004,Northern,3,2261,0.13,7
810,2003-2004,200417,5/1/2004,Upper Southern,1,432,0.23,4
811,2003-2004,200418,5/8/2004,Bay Area,0,295,0,2
812,2003-2004,200418,5/8/2004,California,3,3786,0.08,15
813,2003-2004,200418,5/8/2004,Central,1,777,0.13,2
814,2003-2004,200418,5/8/2004,Lower Southern,1,43,2.33,1
